date,direction-only,fused (sign x vol size),vol-sized long,buy & hold
2023-08-31,1.0,1.0,1.0047376611917478,1.0072358305812017
2023-09-01,1.0,1.0,0.9797091585616285,0.9760848715157989
2023-09-05,1.0041032837004755,1.0030710291204021,0.9830577377879307,0.9805780670951285
2023-09-06,0.9436595430633026,0.951841923083182,0.93285075580181,0.9215504677195263
2023-09-07,0.9523032298134982,0.9582964017923142,0.9391764546348866,0.9299916408375409
2023-09-08,0.9565731974433633,0.9618844476412987,0.9426929117281346,0.9341615670523234
2023-09-11,0.9273462381580322,0.9392954687812972,0.9205546285832957,0.9056193685471474
2023-09-12,0.9268825650389533,0.9389350974691915,0.9185428615440813,0.9028258763290736
2023-09-13,0.9268825650389533,0.9389350974691915,0.9399054734837865,0.9301535237341132
2023-09-14,0.914134583595646,0.9290063386331533,0.9303274529205083,0.9178256315620021
2023-09-15,0.8618563168843072,0.881970050940658,0.8832242762207904,0.8653362782191188
2023-09-18,0.8837313575421291,0.8992116351481177,0.9004903792095392,0.8872996448475177
2023-09-19,0.8790337890552959,0.8960339173516002,0.8973081424682012,0.8825831087481237
2023-09-20,0.8383683121800785,0.8620881344182068,0.8633140861732991,0.8417534347968796
2023-09-21,0.8379491280239885,0.8617359058868508,0.8631169754254298,0.8415308472000153
2023-09-22,0.8379132043923075,0.8617068013198493,0.8634180557672407,0.8419155354404165
2023-09-25,0.8374942477901114,0.8613673684492634,0.870507712815897,0.8502148359313831
2023-09-26,0.8374942477901114,0.8613673684492634,0.8758663474620492,0.8568748894738912
2023-09-27,0.8396474912421532,0.8631298071028921,0.8780038984393254,0.859506399058941
2023-09-28,0.8666799703243724,0.8850609921034771,0.9003130178434386,0.887178236342968
2023-09-29,0.8662466303392102,0.8847116943021782,0.9036316731527972,0.8912875134103372
2023-10-02,0.8811197702073821,0.8987188923904287,0.9182983405995754,0.9070362398982458
2023-10-03,0.8601577542783619,0.8806185678259528,0.8998036832015743,0.8854576659610492
2023-10-04,0.8662141835705037,0.8852968655005656,0.9045839020528783,0.8916922336533176
2023-10-05,0.8657810764787185,0.8849602309941745,0.9072302109260213,0.8945870716808275
2023-10-06,0.8657810764787185,0.8849602309941745,0.919762885137057,0.9077245926267526
2023-10-09,0.8743840265191123,0.8925728411475474,0.9280382984158217,0.9171981823495027
2023-10-10,0.8914818511907424,0.9073538750158238,0.943406641353868,0.9351332008714894
2023-10-11,0.9026940426004799,0.9175234139688048,0.9539802564029929,0.9468943964895126
2023-10-12,0.9062254910617011,0.9210637682459667,0.9576612829900695,0.9505987620902745
2023-10-13,0.869617432890758,0.8888112118612914,0.9241272046863733,0.912198192780469
