date,fwd_ret,y,prob_up,pos,turnover,strat_ret,strat_equity,bh_equity
2019-05-23,-0.0107552372421626,0,0.5601788679148881,1.0,1.0,-0.0112552372421626,0.9887447627578374,0.9892447627578373
2019-05-24,-0.014991940095557,0,0.5659307089203838,1.0,0.0,-0.014991940095557,0.9739215605047762,0.9744140645347283
2019-05-28,-0.0305086320116315,0,0.3465093274600406,0.0,1.0,-0.0005,0.9734345997245238,0.9446860244128802
2019-05-29,-0.0066463135597382,0,0.5385492947180299,0.0,0.0,-0.0,0.9734345997245238,0.9384073448791297
2019-05-30,-0.0225929837819622,0,0.895874658338924,1.0,1.0,-0.0230929837819622,0.9509550903002845,0.9172059229554014
2019-05-31,-0.008968967836394,0,0.7745433882950605,1.0,0.0,-0.008968967836394,0.942426004681526,0.9089795325330643
2019-06-03,0.0033111988001002,1,0.9603378375585656,1.0,0.0,0.0033111988001002,0.9455465645374107,0.9119893444705034
2019-06-04,0.0704751596469819,1,0.2490856218754233,0.0,1.0,-0.0005,0.945073791255142,0.9762619391184085
2019-06-05,-0.0309652793402349,0,0.3272606123264208,0.0,0.0,-0.0,0.945073791255142,0.9460317154643677
2019-06-06,0.0181691106796071,1,0.5317715934537655,0.0,0.0,0.0,0.945073791255142,0.9632202704090584
2019-06-07,0.025968318930557,1,0.6884149044553401,1.0,1.0,0.025468318930557,0.9691432319837385,0.9882334815914183
2019-06-10,0.0208446041763141,1,0.7110611527504023,1.0,0.0,0.0208446041763141,0.9893446390445934,1.0088328173489722
2019-06-11,-0.0121980934859633,0,0.7047328042129213,1.0,0.0,-0.0121980934859633,0.9772765206476908,0.9965269803312417
2019-06-12,-0.0128189745312085,0,0.7105808430775108,1.0,0.0,-0.0128189745312085,0.96474883781956,0.9837525263507133
2019-06-13,-0.017540285273081,0,0.4051664086353308,0.0,1.0,-0.0005,0.9642664634006503,0.9664972264004076
2019-06-14,0.0004151412755193,1,0.7025930146490682,1.0,1.0,-8.485872448070003e-05,0.9641846369785065,0.9668984592917613
2019-06-17,0.0202670863460825,1,0.1860782843657044,0.0,1.0,-0.0005,0.9637025446600174,0.9864946738541216
2019-06-18,0.0461018871534881,1,0.2357352357658036,0.0,0.0,0.0,0.9637025446600174,1.0319739399856613
2019-06-19,0.0160075000034671,1,0.0963146122918052,0.0,0.0,0.0,0.9637025446600174,1.04849326283356
2019-06-20,-0.0208582973035865,0,0.6893001900915787,1.0,1.0,-0.0213582973035865,0.9431194991989459,1.0266234786365702
2019-06-21,-0.0057331040804253,0,0.6581330277590837,1.0,0.0,-0.0057331040804253,0.9377124969497598,1.0207377393821384
2019-06-24,0.0015725698113913,1,0.6392963447958729,1.0,0.0,0.0015725698113913,0.9391871153142274,1.0223429207364385
2019-06-25,0.0245322461359873,1,0.8513292475685281,1.0,0.0,0.0245322461359873,0.962227484794864,1.047423288903329
