bin_start_utc,cohort,z,art_count,tone,react_bar,r_react,drift+15m,drift+30m,drift+1h,drift+3h
2026-04-23 07:30:00+00:00,overnight,23.607176581680832,35.0,2.4219,2026-04-23 09:30:00-04:00,-0.004978097811371818,0.00951446949625323,0.007832479432287265,0.0023766299908054567,-0.0023710607416165264
2026-04-24 17:15:00+00:00,intraday,17.536759746391475,26.0,1.5953,2026-04-24 13:30:00-04:00,-1.1439741200769404e-05,-0.0014684278539135454,-0.00251143050400493,-0.0046868583972198286,
2026-04-24 18:30:00+00:00,intraday,13.489815189531905,20.0,1.3201,2026-04-24 14:45:00-04:00,-0.0006780479719199484,0.0008818028355861429,0.003996876308106634,-0.000421981842463115,
2026-04-25 14:45:00+00:00,overnight,16.187778227438287,24.0,1.3996,2026-04-27 09:30:00-04:00,0.007166084156109087,-0.003311900506024923,-0.0035381878782833054,-0.011022643982063762,0.0072683317795185776
2026-04-27 04:45:00+00:00,overnight,18.885741265344667,29.0,1.3858,2026-04-27 09:30:00-04:00,0.007166084156109087,-0.003311900506024923,-0.0035381878782833054,-0.011022643982063762,0.0072683317795185776
2026-04-28 20:00:00+00:00,overnight,6.070416835289357,20.0,0.0832,2026-04-29 09:30:00-04:00,-0.005750058677222336,-0.0036425358029227306,-0.004941333744183374,-0.003659223615597229,-0.008862344607810102
2026-04-29 03:45:00+00:00,overnight,8.093889113719143,26.0,1.7246,2026-04-29 09:30:00-04:00,-0.005750058677222336,-0.0036425358029227306,-0.004941333744183374,-0.003659223615597229,-0.008862344607810102
2026-04-29 09:15:00+00:00,overnight,6.7449075947659525,22.0,0.7921,2026-04-29 09:30:00-04:00,-0.005750058677222336,-0.0036425358029227306,-0.004941333744183374,-0.003659223615597229,-0.008862344607810102
2026-04-30 21:15:00+00:00,overnight,7.7566437339808445,25.0,1.8063,2026-05-01 09:30:00-04:00,-0.0019224235439356807,-0.008372955823789163,-0.015130763916253676,-0.022959862054715008,-0.017286564393138026
2026-05-05 12:45:00+00:00,overnight,6.070416835289357,20.0,1.118,2026-05-05 09:30:00-04:00,-0.0017555305066915272,0.0011184951187463987,-0.004488444966921912,-0.008107149221959431,-0.008969042025946616
2026-05-06 04:00:00+00:00,overnight,10.454606771887226,33.0,0.9596,2026-05-06 09:30:00-04:00,0.0052818109468961705,0.002267767065062598,0.010210924750167827,0.017284337971319008,0.014734324226699957
2026-05-06 06:15:00+00:00,overnight,14.164305949008499,44.0,1.6043,2026-05-06 09:30:00-04:00,0.0052818109468961705,0.002267767065062598,0.010210924750167827,0.017284337971319008,0.014734324226699957
2026-05-06 20:30:00+00:00,overnight,7.0821529745042495,23.0,1.4634,2026-05-07 09:30:00-04:00,-0.005595615084157957,0.004700912198599028,0.014378304614866222,0.021630060965855957,0.030690300421464034
2026-05-06 21:45:00+00:00,overnight,7.4193983542425475,24.0,0.9338,2026-05-07 09:30:00-04:00,-0.005595615084157957,0.004700912198599028,0.014378304614866222,0.021630060965855957,0.030690300421464034
2026-05-07 09:15:00+00:00,overnight,6.070416835289357,20.0,1.4214,2026-05-07 09:30:00-04:00,-0.005595615084157957,0.004700912198599028,0.014378304614866222,0.021630060965855957,0.030690300421464034
2026-05-07 18:00:00+00:00,intraday,8.768379873195737,28.0,1.7312,2026-05-07 14:15:00-04:00,0.00042018354407935554,0.00047218092191159133,0.00010914703720299457,-0.00036864655535906454,
