date,Open,High,Low,Close,Volume
2017-01-03,2.5679332768267114,2.616389614846364,2.44445605608568,2.5091464519500732,1501996000
2017-01-04,2.5433364240118728,2.5949902671628715,2.497339847336833,2.567687511444092,1199220000
2017-01-05,2.571132896865051,2.602863060081519,2.485534925397682,2.502506971359253,984296000
2017-01-06,2.52980888120009,2.564244867312241,2.4892237207638943,2.5359582901000977,822856000
2017-01-09,2.545797152854455,2.6564839345924818,2.545797152854455,2.6387739181518555,916248000
2017-01-10,2.651810021790602,2.6857538622703,2.598188310455977,2.618849992752075,880920000
2017-01-11,2.6072896445396734,2.6122089368068,2.5617849595450077,2.586627960205078,525664000
2017-01-12,2.5637526229133467,2.5753132286273623,2.499554116101543,2.544320821762085,625616000
2017-01-13,2.548256089447979,2.5826920681371366,2.534973697493455,2.544074773788452,457820000
2017-01-17,2.5334975293130877,2.5384168199208146,2.4737266588724176,2.487009048461914,580612000
2017-01-18,2.4656102509269693,2.5391554350821646,2.437815583452183,2.5322682857513428,654424000
2017-01-19,2.5352201714050504,2.618604180957231,2.533006478156046,2.586627960205078,644872000
2017-01-20,2.6092581180244463,2.6269681389404274,2.536450879794818,2.558342218399048,492024000
2017-01-23,2.553175245048988,2.60482908829994,2.550715482376114,2.5849053859710693,369904000
2017-01-24,2.594990900909095,2.64615285093637,2.580232555872021,2.6400034427642822,428052000
2017-01-25,2.682310003147152,2.6884594104420483,2.6154061407251827,2.651317834854126,522760000
2017-01-26,2.654023069143716,2.7044470291633727,2.6245066219060544,2.697067975997925,458800000
2017-01-27,2.7039555656179335,2.752165841027187,2.6773907822186884,2.7492141723632812,471996000
2017-01-30,2.7283070057832743,2.730520698920901,2.654269913297215,2.706169605255127,496004000
2017-01-31,2.6798505072339864,2.706907195931234,2.6614025197019617,2.6855077743530273,362756000
2017-02-01,2.719944310020438,2.8070179733090854,2.7022345277024633,2.8028366565704346,590004000
2017-02-02,2.7868473922217056,2.8468643366358846,2.7563471316675408,2.8382551670074463,483240000
2017-02-03,2.8397311350052825,2.8507998328731956,2.801605750446854,2.8134121894836426,372744000
2017-02-06,2.804065927650261,2.8859742170005136,2.804065927650261,2.8854823112487793,506768000
2017-02-07,2.9196724187887924,2.974277948664575,2.8999947799512436,2.9302492141723633,746224000
2017-02-08,2.9122931719776353,2.934676408451014,2.8626069377800265,2.9174585342407227,449580000
2017-02-09,2.923607286862362,2.9285268128286113,2.8434210309653154,2.8626065254211426,842568000
2017-02-10,2.9499266245706193,2.9688662859767034,2.7696301495311757,2.7947192192077637,1651092000
2017-02-13,2.7890610537186573,2.8035733253811363,2.6614022771093824,2.66582989692688,1180724000
2017-02-14,2.656237866046372,2.7093676808251748,2.614422823096524,2.6756696701049805,850632000
2017-02-15,2.678621050995418,2.7007582173115274,2.6505803119220257,2.6810805797576904,373020000
2017-02-16,2.690673197388687,2.691903078890702,2.5989261016064082,2.638035535812378,647176000
2017-02-17,2.62450735520154,2.6419712990807476,2.5775269558376817,2.6375436782836914,563740000
2017-02-21,2.662140530488657,2.735931777858841,2.661894460360288,2.7319962978363037,551952000
2017-02-22,2.7440642173313523,2.75342292595636,2.708845869637881,2.7278096675872803,433772000
2017-02-23,2.598265221395527,2.6201841736569684,2.454929699439073,2.4748783111572266,1592888000
2017-02-24,2.390651337501982,2.512067965626953,2.356910795487519,2.4987688064575195,1029904000
2017-02-27,2.5169923887817833,2.586443543196861,2.5012303696891904,2.571420431137085,715400000
2017-02-28,2.5810259386033034,2.5908774085511657,2.4820210613213884,2.499260663986206,625360000
2017-03-01,2.556151434892164,2.5704358775653255,2.4901481873153526,2.5315234661102295,504804000
2017-03-02,2.5187169038556902,2.5327549662143096,2.435473817588905,2.438182830810547,754332000
2017-03-03,2.42759314243817,2.4325186428186987,2.369716927581068,2.424145221710205,864692000
2017-03-06,2.3879421841342783,2.416018315671601,2.3438578803237924,2.405428171157837,883568000
2017-03-07,2.405427456405435,2.451235707231836,2.392620828443478,2.431779384613037,603400000
2017-03-08,2.4800508040820524,2.4948277746307346,2.425130219526073,2.427346706390381,638712000
2017-03-09,2.411339201662365,2.4492663392607263,2.3987787145154416,2.4268548488616943,478060000
2017-03-10,2.4532059844641183,2.465027324288302,2.4229133754592485,2.4411380290985107,499740000
