date,tone,art_count
2017-09-02,0.936,50
2017-09-03,0.797,36
2017-09-04,1.045,78
2017-09-05,-0.959,374
2017-09-06,0.573,144
2017-09-07,1.08,152
2017-09-08,1.33,106
2017-09-09,0.959,61
2017-09-10,0.61,39
2017-09-11,0.62,216
2017-09-12,0.931,277
2017-09-13,0.778,196
2017-09-14,1.116,115
2017-09-15,-0.765,281
2017-09-16,-0.224,191
2017-09-17,0.779,90
2017-09-18,0.446,359
2017-09-19,1.283,196
2017-09-20,0.999,222
2017-09-21,-0.13,516
2017-09-22,0.445,226
2017-09-23,0.916,145
2017-09-24,0.981,51
2017-09-25,-0.327,328
2017-09-26,-0.621,532
2017-09-27,1.097,254
2017-09-28,1.809,227
2017-09-29,0.539,210
2017-09-30,0.964,80
2017-10-01,0.445,48
2017-10-02,0.472,267
2017-10-03,1.065,184
2017-10-04,1.056,164
2017-10-05,1.179,169
2017-10-06,0.925,296
2017-10-07,0.395,122
2017-10-08,1.154,47
2017-10-09,-0.127,274
2017-10-10,0.238,525
2017-10-11,0.701,329
2017-10-12,1.019,250
2017-10-13,1.121,196
2017-10-14,0.79,81
2017-10-15,0.881,53
2017-10-16,1.201,99
2017-10-17,1.375,261
2017-10-18,1.384,241
2017-10-19,1.233,226
2017-10-20,1.265,190
2017-10-21,0.626,96
2017-10-22,0.946,68
2017-10-23,1.163,201
2017-10-24,1.26,300
2017-10-25,0.274,270
2017-10-26,1.426,326
2017-10-27,0.77,403
2017-10-28,1.015,165
2017-10-29,1.328,121
2017-10-30,1.267,392
2017-10-31,1.308,289
2017-11-01,1.442,211
2017-11-02,1.335,220
2017-11-03,1.285,247
2017-11-04,0.714,94
2017-11-05,0.992,75
2017-11-06,0.697,303
2017-11-07,1.212,319
2017-11-08,1.36,388
2017-11-09,0.864,763
2017-11-10,0.065,906
2017-11-11,0.832,286
2017-11-12,0.849,177
2017-11-13,1.575,365
2017-11-14,1.206,457
2017-11-15,0.596,583
2017-11-16,0.93,336
2017-11-17,1.072,278
2017-11-18,1.353,114
2017-11-19,1.537,112
2017-11-20,1.536,196
2017-11-21,1.437,219
2017-11-22,1.242,209
2017-11-23,1.333,135
2017-11-24,1.578,153
2017-11-25,1.484,83
2017-11-26,1.485,78
2017-11-27,1.136,227
2017-11-28,1.306,192
2017-11-29,0.683,253
2017-11-30,0.643,228
2017-12-03,-0.064,49
2017-12-04,0.506,224
2017-12-05,1.048,391
2017-12-06,1.032,263
2017-12-07,1.13,236
2017-12-08,1.705,274
2017-12-09,1.419,105
2017-12-10,1.042,51
2017-12-11,2.059,140
2017-12-12,1.004,208
2017-12-13,0.947,256
2017-12-14,1.29,262
2017-12-15,1.175,165
2017-12-16,1.244,54
2017-12-17,1.046,40
2017-12-18,1.531,116
2017-12-19,1.253,107
2017-12-20,1.435,139
2017-12-21,1.306,167
2017-12-22,-0.419,248
2017-12-23,0.398,65
2017-12-24,1.193,57
2017-12-25,1.183,68
2017-12-26,0.793,92
2017-12-27,0.69,119
2017-12-28,0.599,158
2017-12-29,0.849,114
2017-12-30,-0.034,66
2017-12-31,0.857,53
2018-01-01,0.615,49
2018-01-02,0.548,299
2018-01-03,-0.09,494
2018-01-04,0.465,388
2018-01-05,0.655,302
2018-01-06,0.94,80
2018-01-07,0.884,51
2018-01-08,0.75,952
2018-01-09,0.934,567
2018-01-10,-0.178,467
2018-01-11,0.132,230
2018-01-12,0.741,185
2018-01-13,0.534,153
2018-01-14,0.877,92
2018-01-15,0.619,109
2018-01-16,0.688,214
2018-01-17,0.912,179
2018-01-18,0.903,118
2018-01-19,0.59,208
2018-01-20,0.336,87
2018-01-21,0.985,92
2018-01-22,0.81,153
2018-01-23,0.308,151
2018-01-24,-0.7,307
2018-01-25,0.45,202
2018-01-26,0.994,248
2018-01-27,0.15,67
2018-01-28,1.338,43
2018-01-29,1.443,102
2018-01-30,1.044,99
2018-01-31,1.113,145
2018-02-01,0.967,146
2018-02-02,1.121,259
2018-02-03,1.274,158
2018-02-04,1.073,103
2018-02-05,-0.027,316
2018-02-06,0.951,301
2018-02-07,0.7,250
2018-02-08,0.241,277
2018-02-09,-1.097,805
2018-02-10,-0.045,192
2018-02-11,0.86,117
2018-02-12,0.599,137
2018-02-13,0.867,161
2018-02-14,0.933,161
2018-02-15,0.583,218
2018-02-16,0.852,191
2018-02-17,0.406,89
2018-02-18,1.005,112
2018-02-19,0.676,116
2018-02-20,0.41,226
2018-02-21,0.49,192
2018-02-22,0.913,146
2018-02-23,0.825,132
2018-02-24,0.89,77
2018-02-25,1.154,97
2018-02-26,1.14,198
2018-02-27,1.496,138
2018-02-28,1.031,118
2018-03-01,0.845,130
2018-03-02,1.588,172
2018-03-03,0.682,48
2018-03-04,0.697,72
2018-03-05,0.603,144
2018-03-06,0.938,153
2018-03-07,1.097,146
2018-03-08,1.036,129
2018-03-09,1.05,165
2018-03-10,0.908,51
2018-03-11,0.356,56
2018-03-12,0.361,158
2018-03-13,-0.244,197
2018-03-14,0.715,102
2018-03-15,0.338,221
2018-03-16,0.312,140
2018-03-17,0.475,36
2018-03-18,0.213,36
2018-03-19,-0.3,285
2018-03-20,0.388,392
2018-03-21,1.12,331
2018-03-22,1.619,286
2018-03-23,-0.651,218
2018-03-24,1.141,35
2018-03-25,0.076,32
2018-03-26,0.924,153
2018-03-27,-0.621,805
2018-03-28,-1.748,1111
2018-03-29,-1.006,419
2018-03-30,-0.493,189
2018-03-31,-1.533,118
2018-04-01,-0.845,84
2018-04-02,-1.287,518
2018-04-03,0.782,495
2018-04-04,0.241,318
2018-04-05,0.733,243
2018-04-06,0.599,338
2018-04-07,0.804,121
2018-04-08,0.087,50
2018-04-09,1.095,156
2018-04-10,0.378,346
2018-04-11,1.391,227
2018-04-12,1.06,126
2018-04-13,0.757,122
2018-04-14,1.125,40
2018-04-15,0.774,29
2018-04-16,0.869,129
2018-04-17,1.013,123
2018-04-18,0.979,160
2018-04-19,0.05,262
2018-04-20,0.671,142
2018-04-21,0.59,54
2018-04-22,0.972,32
2018-04-23,0.533,109
2018-04-24,-0.284,167
2018-04-25,0.546,150
2018-04-26,0.709,166
2018-04-27,0.355,136
2018-04-28,0.025,54
2018-04-29,-0.209,40
2018-04-30,0.73,99
2018-05-01,1.385,101
2018-05-02,1.568,114
2018-05-03,1.059,175
2018-05-04,0.392,141
2018-05-05,0.364,55
2018-05-06,0.348,33
2018-05-07,0.563,298
2018-05-08,0.845,288
2018-05-09,1.045,261
2018-05-10,0.967,370
2018-05-11,0.656,556
2018-05-12,0.627,185
2018-05-13,0.507,132
2018-05-14,1.007,141
2018-05-15,0.391,197
2018-05-16,0.895,159
2018-05-17,0.617,169
2018-05-18,0.863,180
2018-05-19,0.886,56
2018-05-20,1.062,34
2018-05-21,1.068,204
2018-05-22,1.527,188
2018-05-23,1.211,180
2018-05-24,1.144,206
2018-05-25,1.043,113
2018-05-26,0.842,80
2018-05-27,1.72,49
2018-05-28,1.161,80
2018-05-29,0.655,105
2018-05-30,1.327,210
2018-05-31,1.134,152
2018-06-01,0.99,139
2018-06-02,0.715,49
2018-06-03,0.004,46
2018-06-04,0.281,263
2018-06-05,1.741,254
2018-06-06,1.243,228
2018-06-07,1.217,220
2018-06-08,1.272,283
2018-06-09,0.933,88
2018-06-10,0.549,61
2018-06-11,1.181,194
2018-06-12,1.062,182
2018-06-13,1.142,184
2018-06-14,0.974,158
2018-06-15,1.181,126
2018-06-16,1.872,59
2018-06-17,0.86,31
2018-06-18,1.525,89
2018-06-19,1.013,139
2018-06-20,0.732,145
2018-06-21,0.612,138
2018-06-22,-0.412,353
2018-06-23,-0.443,66
2018-06-24,0.566,57
2018-06-25,-1.564,357
2018-06-26,-0.641,354
2018-06-27,0.853,179
2018-06-28,0.494,203
2018-06-29,0.637,129
2018-06-30,1.728,56
2018-07-01,0.582,34
2018-07-02,0.237,138
2018-07-03,0.433,120
2018-07-04,0.324,115
2018-07-05,0.933,173
2018-07-06,0.832,119
2018-07-07,0.171,60
2018-07-08,-0.096,42
2018-07-09,0.832,140
2018-07-10,1.366,262
2018-07-11,-1.755,423
2018-07-12,0.399,197
2018-07-13,0.647,171
2018-07-14,1.27,120
2018-07-15,0.873,24
2018-07-16,1.585,115
2018-07-17,0.841,190
2018-07-18,0.353,245
2018-07-19,0.13,124
2018-07-20,0.809,124
2018-07-21,0.846,57
2018-07-22,1.006,29
2018-07-23,-0.361,149
2018-07-24,1.052,171
2018-07-25,1.036,132
2018-07-26,0.412,131
2018-07-27,1.212,134
2018-07-28,1.001,48
2018-07-29,0.618,40
2018-07-30,1.287,98
2018-07-31,1.416,125
2018-08-01,1.229,149
2018-08-02,0.117,193
2018-08-03,0.776,182
2018-08-04,0.023,41
2018-08-05,-0.454,35
2018-08-06,-0.434,221
2018-08-07,0.623,249
2018-08-08,0.868,193
2018-08-09,0.339,175
2018-08-10,1.051,145
2018-08-11,0.624,56
2018-08-12,0.971,49
2018-08-13,-0.894,273
2018-08-14,1.244,396
2018-08-15,0.834,183
2018-08-16,0.918,254
2018-08-17,-0.712,644
2018-08-18,0.317,121
2018-08-19,0.961,91
2018-08-20,0.552,392
2018-08-21,0.561,304
2018-08-22,0.466,324
2018-08-23,-0.518,312
2018-08-24,0.848,192
2018-08-25,0.654,45
2018-08-26,-0.139,49
2018-08-27,0.436,178
2018-08-28,1.337,188
2018-08-29,1.56,221
2018-08-30,1.304,210
2018-08-31,1.37,210
2018-09-01,0.723,70
2018-09-02,0.083,36
2018-09-03,0.917,84
2018-09-04,0.776,94
2018-09-05,0.88,145
2018-09-06,1.168,142
2018-09-07,0.446,109
2018-09-08,0.746,41
2018-09-09,0.655,22
2018-09-10,0.697,135
2018-09-11,0.868,154
2018-09-12,-0.626,227
2018-09-13,1.605,215
2018-09-14,0.738,190
2018-09-15,0.416,67
2018-09-16,0.268,30
2018-09-17,0.664,123
2018-09-18,0.807,158
2018-09-19,0.902,148
2018-09-20,0.556,224
2018-09-21,0.418,142
2018-09-22,0.485,47
2018-09-23,0.625,26
2018-09-24,0.946,108
2018-09-25,0.769,100
2018-09-26,0.546,124
2018-09-27,0.86,167
2018-09-28,-0.287,326
2018-09-29,0.31,76
2018-09-30,1.259,67
2018-10-01,1.271,141
2018-10-02,1.428,168
2018-10-03,1.299,262
2018-10-04,1.26,197
2018-10-05,-0.326,221
2018-10-06,0.973,70
2018-10-07,1.646,32
2018-10-08,0.665,228
2018-10-09,1.081,145
2018-10-10,-0.245,423
2018-10-11,1.007,217
2018-10-12,0.703,137
2018-10-13,0.941,57
2018-10-14,1.539,29
2018-10-15,-1.294,259
2018-10-16,0.308,191
2018-10-17,0.946,120
2018-10-18,1.132,125
2018-10-19,1.115,130
2018-10-20,0.839,40
2018-10-21,0.682,46
2018-10-22,0.981,131
2018-10-23,-0.237,222
2018-10-24,0.873,157
2018-10-25,0.715,193
2018-10-26,0.665,113
2018-10-27,1.054,53
2018-10-28,0.803,35
2018-10-29,1.166,129
2018-10-30,1.037,151
2018-10-31,0.757,124
2018-11-01,0.109,219
2018-11-02,1.081,124
2018-11-03,0.535,29
2018-11-04,0.169,27
2018-11-05,-0.155,209
2018-11-06,1.049,140
2018-11-07,1.721,115
2018-11-08,1.422,116
2018-11-09,0.87,130
2018-11-10,0.271,49
2018-11-11,0.811,64
2018-11-12,-1.184,424
2018-11-13,-0.238,662
2018-11-14,0.249,225
2018-11-15,0.148,238
2018-11-16,-2.041,923
2018-11-17,-0.898,246
2018-11-18,0.188,78
2018-11-19,-2.399,468
2018-11-20,-1.543,449
2018-11-21,0.753,292
2018-11-22,1.513,169
2018-11-23,0.822,163
2018-11-24,0.726,50
2018-11-25,1.396,58
2018-11-26,0.231,270
2018-11-27,-0.948,538
2018-11-28,-1.018,518
2018-11-29,-0.93,503
2018-11-30,-1.038,503
2018-12-01,-1.401,319
2018-12-02,-1.428,284
2018-12-03,-0.167,431
2018-12-04,0.253,347
2018-12-05,-0.232,270
2018-12-06,-0.846,237
2018-12-07,-0.087,208
2018-12-08,-1.033,139
2018-12-09,-1.174,129
2018-12-10,-0.022,163
2018-12-11,0.194,203
2018-12-12,0.608,221
2018-12-13,0.473,281
2018-12-14,0.421,165
2018-12-15,-0.311,98
2018-12-16,-0.472,81
2018-12-17,0.6,148
2018-12-18,0.428,165
2018-12-19,0.416,189
2018-12-20,0.229,326
2018-12-21,0.246,108
2018-12-22,-0.136,57
2018-12-23,1.054,46
2018-12-24,0.387,100
2018-12-25,0.387,43
2018-12-26,-0.072,99
2018-12-27,0.013,110
2018-12-28,0.159,95
2018-12-29,-0.992,61
2018-12-30,0.102,53
2018-12-31,0.301,80
2019-01-01,0.158,57
2019-01-02,-0.089,101
2019-01-03,-0.14,158
2019-01-04,0.272,131
2019-01-05,0.743,50
