date,category,day_n,day_tone,day_tone_sd
2018-01-01,brokers,1554,0.1398460483838431,1.943497043377208
2018-01-01,competitors,283,-1.3231224197529337,3.469555100854077
2018-01-01,hyperscalers,3575,-0.2402113738097906,2.879909738584481
2018-01-01,macro,3953,-1.6668366250349211,2.713195431636777
2018-01-01,nvda,57,1.0118235675483396,2.885849228955991
2018-01-02,ai_companies,5,-1.227326935700854,1.6442827906149051
2018-01-02,brokers,1935,-0.1518509140539359,2.1432036391774534
2018-01-02,competitors,584,-0.1880521630580791,2.2054125442531776
2018-01-02,hyperscalers,5963,-0.2178753077998676,2.7804720515020915
2018-01-02,macro,7166,-1.585560946815102,2.643851106829861
2018-01-02,nvda,279,0.5267595820200051,1.5124790979010367
2018-01-03,ai_companies,4,2.8660607416519066,2.456733360920283
2018-01-03,brokers,1849,0.0382641469857092,2.290063656516724
2018-01-03,competitors,790,-0.1728728137929392,2.2525654421153414
2018-01-03,hyperscalers,8511,-0.2454930534253918,2.8847558409796528
2018-01-03,macro,11853,-1.7265812547762116,2.1934128636686347
2018-01-03,nvda,248,0.7005546976637226,1.9497986113412675
2018-01-04,ai_companies,5,-0.43975124370669,3.551513947988337
2018-01-04,brokers,2139,-0.0646848750128878,1.9944146106014056
2018-01-04,competitors,1249,-1.6390142203518476,2.919951077934342
2018-01-04,hyperscalers,9054,-0.7338518264163574,2.877528748236075
2018-01-04,macro,15498,-2.385865805144604,2.4957852386398898
2018-01-04,nvda,348,0.359301459751958,2.3522648976505995
2018-01-05,ai_companies,11,0.1380362519002951,4.099508453931727
2018-01-05,brokers,2220,-0.1191345816306804,2.184668004710626
2018-01-05,competitors,1321,-1.5199574370765456,2.762277755916126
2018-01-05,hyperscalers,8815,-0.9753789965535232,3.04945713646592
2018-01-05,macro,15794,-1.969609217197117,2.009116987298433
2018-01-05,nvda,272,0.6823666030706794,2.3101612478686437
2018-01-06,ai_companies,4,1.481622379912868,1.714518003663174
2018-01-06,brokers,1485,-0.1735163204823521,2.063189306059124
2018-01-06,competitors,383,-0.4844183971479591,2.713524950647181
2018-01-06,hyperscalers,6908,-0.3749855037522572,3.009079365414695
2018-01-06,macro,10638,-1.8191963267021425,2.108279776350747
2018-01-06,nvda,74,1.1186592296797937,1.910912254063324
2018-01-07,ai_companies,3,2.6177387976301,4.174406452302658
2018-01-07,brokers,997,-0.2324239634745202,2.164022724982082
2018-01-07,competitors,226,0.1510929206713863,2.1793515622080224
2018-01-07,hyperscalers,5252,-0.1532001541627371,3.0872679927034645
2018-01-07,macro,7220,-1.7005075005433712,2.132153265859497
2018-01-07,nvda,68,0.8039524138292907,2.3396936360678247
2018-01-08,ai_companies,3,0.3774559698378393,1.67972319583606
2018-01-08,brokers,2093,-0.0295400961763703,2.2697925014778324
2018-01-08,competitors,726,0.63525191908797,2.755146287628893
2018-01-08,hyperscalers,9424,0.1269221338441795,3.279407245136169
2018-01-08,macro,12229,-1.2290210963471278,2.3006990094815545
2018-01-08,nvda,1151,0.8798800780472925,1.8195676333034567
2018-01-09,ai_companies,4,0.0135423638617432,2.1485773820712466
2018-01-09,brokers,2420,-0.0329044302818507,2.397972585072518
2018-01-09,competitors,1315,0.4737261518121112,2.645835046625552
2018-01-09,hyperscalers,10363,-0.4024762267109799,3.2406273382889976
2018-01-09,macro,12974,-0.4313362837405184,2.408771070439052
2018-01-09,nvda,657,1.034948864712064,1.9055127891426045
2018-01-10,ai_companies,5,1.177508780274102,2.9648608601360285
2018-01-10,brokers,2720,-0.1433668579846137,2.3195946614198704
2018-01-10,competitors,1089,-0.3580964626835017,3.052613035918509
2018-01-10,hyperscalers,8835,-0.1099394296154013,2.931608426788117
2018-01-10,macro,16018,-1.0657648082840374,2.3228630401794
2018-01-10,nvda,456,0.1656754835000461,2.492700441016453
2018-01-11,ai_companies,5,0.7918389449123201,3.970086882405364
2018-01-11,brokers,2868,-0.2096737991921124,2.185943605995281
2018-01-11,competitors,870,-0.2970189241605664,2.863073264316427
2018-01-11,hyperscalers,8364,-0.2192028509981075,2.930207974963293
2018-01-11,macro,13755,-1.2811488844020782,2.3158036536154967
2018-01-11,nvda,321,0.3479566364110822,2.3892066943814734
2018-01-12,ai_companies,21,2.0349207178934887,2.4751391835071743
2018-01-12,brokers,2710,-0.4108567256445758,2.2449638845841347
2018-01-12,competitors,799,-0.4650604388441782,3.1609505463328573
2018-01-12,hyperscalers,8151,-0.0340021461502811,2.9709699317138645
2018-01-12,macro,19368,-1.66974111376983,2.1167579973609696
2018-01-12,nvda,235,0.7958941647799204,2.0051200784941976
2018-01-13,ai_companies,6,1.67466142620789,2.642578672275949
2018-01-13,brokers,1683,-0.1086729338531462,1.921925689307714
