date,tone,art_count
2017-01-01,0.3366849816953071,15
2017-01-02,0.4890002238929217,95
2017-01-03,0.1220502712638354,188
2017-01-04,0.7568128657097324,240
2017-01-05,0.8839591612009556,201
2017-01-06,1.1709806098007969,162
2017-01-07,0.1717722421537435,59
2017-01-08,0.2910517497852783,26
2017-01-09,0.146509455431384,273
2017-01-10,1.1194322785232471,215
2017-01-11,0.9548190907651948,158
2017-01-12,0.3244226622173898,290
2017-01-13,0.1379121201848788,194
2017-01-14,0.1122955044638432,30
2017-01-15,0.5403766677371442,20
2017-01-16,0.6122052105578222,77
2017-01-17,0.8032248702540686,160
2017-01-18,0.80039981431768,208
2017-01-19,0.6942922653377269,182
2017-01-20,0.1959461636256263,232
2017-01-21,0.528462338927792,40
2017-01-22,0.2237866573207273,27
2017-01-23,0.549474992244588,153
2017-01-24,0.8324687158929825,209
2017-01-25,0.5145634020367366,160
2017-01-26,0.8054204092320311,204
2017-01-27,0.2710472777481246,210
2017-01-28,-0.1300884971110284,47
2017-01-29,0.1560844292649463,24
2017-01-30,0.7433489140974693,168
2017-01-31,0.527570653697764,154
2017-02-01,1.0626527598191071,216
2017-02-02,0.154332234380486,407
2017-02-03,0.4913124587675858,201
2017-02-04,-0.2169624685803557,53
2017-02-05,1.0138499789204152,29
2017-02-06,0.4565676232477624,146
2017-02-07,0.6473268268904924,342
2017-02-08,0.8466821985908475,230
2017-02-09,-0.4681352370509055,342
2017-02-10,0.2939216290787015,216
2017-02-11,0.1099085274352996,55
2017-02-12,0.3766037057402353,51
2017-02-13,0.222421017344878,240
2017-02-14,0.1924123890606757,221
2017-02-15,0.781835423434168,251
2017-02-16,0.7227974324395186,235
2017-02-17,0.1218778036562862,342
2017-02-18,0.3115588848409052,67
2017-02-19,-0.3484399712111371,26
2017-02-20,0.5353145599223685,112
2017-02-21,0.7394649600289871,366
2017-02-22,1.1077082685421136,179
2017-02-23,0.6064185635008251,262
2017-02-24,0.2682519457402538,269
2017-02-25,0.4883114387580289,30
2017-02-26,0.5710119113868561,59
2017-02-27,1.4438459446729437,149
2017-02-28,1.4651874245436471,155
2017-03-01,0.6781396587471414,258
2017-03-02,0.7794060310362442,158
2017-03-03,0.5379775051782838,154
2017-03-04,0.9420878170072454,81
2017-03-05,1.0114332847940473,33
2017-03-06,1.0107862619604222,157
2017-03-07,0.7431966086320589,188
2017-03-08,1.018909553917006,171
2017-03-09,0.1232471177027339,269
2017-03-10,0.0778698594804592,215
2017-03-11,0.3017919934090017,51
2017-03-12,-0.6611530453917746,13
2017-03-13,0.8775853973529266,162
2017-03-14,1.0938754830201347,264
2017-03-15,1.0266969642597867,240
2017-03-16,0.0963422523154046,232
2017-03-17,0.9190841261818492,130
2017-03-18,-0.222666728809464,49
2017-03-19,0.2501267223595896,30
2017-03-20,0.7912557197498978,148
2017-03-21,0.7924864246379301,189
2017-03-22,0.7699414244943782,170
2017-03-23,0.7076139266656608,200
2017-03-24,-0.5923617256537381,642
2017-03-25,-0.6328236788206695,98
2017-03-26,-0.7310796389689639,39
2017-03-27,0.9915603629531636,162
2017-03-28,0.8106202049970348,172
2017-03-29,0.3802250709588874,299
2017-03-30,0.1301785742130264,325
2017-03-31,0.4899155465047168,197
2017-04-01,-0.0871137387974314,123
2017-04-02,0.8709375343579386,30
2017-04-03,0.0167182436245311,305
2017-04-04,0.5716287767948374,165
2017-04-05,0.3439127835439979,208
2017-04-06,0.7452208698352939,169
2017-04-07,0.4658732180795391,144
2017-04-08,-0.0288082352763355,40
2017-04-09,0.1863197654931787,44
2017-04-10,0.6079924882986807,155
2017-04-11,-0.6063241533394393,732
2017-04-12,0.188276313783987,350
2017-04-13,0.6037144664882448,223
2017-04-14,-0.10800181206511,168
2017-04-15,-0.264571661514051,55
2017-04-16,-0.1751137911515708,23
2017-04-17,0.8614175239260539,145
2017-04-18,0.8020243461186983,136
2017-04-19,0.2653809813604339,215
2017-04-20,0.6769775479835528,189
2017-04-21,0.7768391789284464,138
2017-04-22,0.3655077282019034,32
2017-04-23,0.0824829037717884,34
2017-04-24,0.3127065645045975,111
2017-04-25,1.4352497535406112,185
2017-04-26,0.9563243933086928,161
2017-04-27,0.8048254753664417,247
2017-04-28,0.3631176340276857,230
2017-04-29,0.6205620074972291,49
2017-04-30,0.4728227688573923,15
2017-05-01,0.8883809078263922,119
2017-05-02,0.4434657335221654,215
2017-05-03,0.0226649910912468,314
2017-05-04,0.8806566362339516,341
2017-05-05,0.7242490785187234,104
2017-05-06,0.3040793797668952,21
2017-05-07,0.7632431799846403,25
2017-05-08,0.5020503104532361,211
2017-05-09,0.3482445681640117,215
2017-05-10,1.012117030159196,147
2017-05-11,0.43720372640317,258
2017-05-12,0.6322352861570046,155
2017-05-13,0.2576651229437097,45
2017-05-14,0.4934189772447664,49
2017-05-15,0.8286334555043696,140
2017-05-16,0.7950407613386465,179
2017-05-17,0.3072301668760288,219
2017-05-18,-0.1748921060204851,193
2017-05-19,0.411713912568477,228
2017-05-20,-0.0455126800787719,46
2017-05-21,-2.439345337127316,50
2017-05-22,0.3062801383898608,116
2017-05-23,-0.0397484148976439,128
2017-05-24,0.7337916419530662,191
2017-05-25,0.497329003981558,178
2017-05-26,0.6483438047092899,149
2017-05-27,0.4174443008094171,49
2017-05-28,0.290494093298454,35
2017-05-29,1.2726694359268451,128
2017-05-30,0.2318730646288403,236
2017-05-31,0.3374197969705428,225
2017-06-01,0.3016771876278153,174
