date,n2_nvda_dir,n2_nvda_mag,n2_nvda_conflict,n2_nvda_novelty,n2_macro_mag,n2_hyper_dir,n2_brokers_dir,n2_macro_tone_sd,n2_cross_divergence,n2_nvda_count_z,n2_macro_count_z,n2_nvda_dir_d3,n2_nvda_dir_d10,n2_nvda_mag_d3,n2_nvda_mag_d10,n2_macro_mag_d3,n2_macro_mag_d10,n2_hyper_dir_d3,n2_hyper_dir_d10,n2_brokers_dir_d3,n2_brokers_dir_d10
2018-01-02,0.0020232222,0.024465933,0.0022798725,,0.023492921,0.0031968846,0.0030256072,2.713195431636777,1.0915596076345169,,,0.0020232221577316523,0.0020232221577316523,0.024465933442115784,0.024465933442115784,0.023492921143770218,0.023492921143770218,0.0031968846451491117,0.0031968846451491117,0.003025607205927372,0.003025607205927372
2018-01-03,0.002513348,0.024775753,0.0007783543,,0.023204343,0.0023468519,0.003408141,2.643851106829861,0.7817589151487524,,,0.002296470521802975,0.0022767748578174196,0.024638659798114956,0.024626209731741195,0.02333203712431169,0.023343633598452238,0.002722985702784843,0.002757144203106112,0.003238872328539813,0.003223500239454893
2018-01-04,0.0028410552,0.02762979,,,0.023150204,0.0015347021,0.0031263945,2.1934128636686347,1.5114593003133618,,,0.002521165570797579,0.0024780459423186115,0.025872797314318945,0.025697546125733467,0.023257012865162772,0.023274639810633314,0.0022327011547777944,0.0023211157989972953,0.003192464082136872,0.0031888639362148753
2018-01-05,0.003870458,0.025736757,0.0015225637,,0.023821749,0.002536189,0.0026424786,2.4957852386398898,1.0233220535845964,,,0.0029826734251628515,0.0028631331492002636,0.025826266376170588,0.025708390228615104,0.023450173398522973,0.02342594893800451,0.002336505215450258,0.002380596717877584,0.003004348732400008,0.003037754930562574
2018-01-08,0.00327734,0.024605252,0.0010359028,,0.023403373,0.003571505,0.0030557215,2.083183343169559,1.1525741129799154,,,0.0030714147422477196,0.0029578372599936864,0.025458547548545166,0.025456169035091826,0.02343607894784276,0.02342078709512786,0.002708435809153624,0.0026528855835646734,0.0030198200812739415,0.003041862805931066
2018-01-09,0.0037380531,0.024821704,0.0017341136,,0.023670977,0.0029643844,0.0028177951,2.3006990094815545,0.7417781953366829,,,0.003254784277499772,0.00311139885011116,0.025283373632828954,0.025331294083369534,0.023500691402236255,0.023470029308240138,0.0027788385521242466,0.0027141945786730427,0.0029642498974977328,0.002997761952741767
2018-01-10,0.0036521973,0.024761016,0.0019059252,,0.02346802,0.00290501,0.003350452,2.408771070439052,0.5609325000933907,,,0.0033570655522174187,0.0032056055011157347,0.025148935538380376,0.025231952027253597,0.023492282694914747,0.023469679190964,0.002811311009805525,0.0027474344718889615,0.003063645855306583,0.003059200281149184
2018-01-11,0.0020853395,0.024339687,0.0013448572,,0.02363475,0.0024192655,0.0035427455,2.3228630401794,0.7337728427659914,,,0.0030456669286984595,0.0030293557252719563,0.024950780552108236,0.025091573315009726,0.02352716776023039,0.023495649597224694,0.0027153135678705787,0.0026958041300247423,0.00318095961679179,0.003135275726343217
2018-01-12,0.0022063241,0.024782162,0.0008333309,,0.023215234,0.0034425377,0.0032281845,2.3158036536154967,0.6991859547887771,,,0.0028477743834861282,0.0029106003109152195,0.024911025254203002,0.02504692830946162,0.023453622945401504,0.023455188407658378,0.0028867718122036895,0.0028035504911282645,0.003192093874653902,0.0031486815592372316
2018-01-16,0.0036487782,0.024684886,0.001459925,,0.023446867,0.0026825473,0.0031200277,2.4530854052467945,1.5020103242431362,,,0.003031221285449516,0.003009467439579254,0.024859234446389655,0.02499843846393621,0.023452075745794387,0.023454073920577245,0.0028400000609880914,0.002787344050065955,0.0031755891919780198,0.0031448438348237284
2018-01-17,0.0042152116,0.024391903,0.00085663825,0.2303343572313057,0.02313222,0.0038666911,0.0027459837,2.292067087748792,0.8354714598470386,,,0.003296355909500306,0.0031608218474628753,0.02475458337934629,0.024922301355108246,0.023380449436838605,0.023413672296089053,0.0030699101783194056,0.0029228321116243922,0.0030793862923281052,0.0030947757957450156
2018-01-18,0.0033037856,0.024917236,0.0011314267,0.17596426731743864,0.02299503,0.00046067685,0.0032445944,2.5531686770271977,1.0604853468338398,,,0.0032979908281125132,0.003177774980339603,0.0247903754509721,0.024921700640122252,0.023295636932935026,0.023364028306208522,0.002495741150643274,0.00263086123278891,0.0031157408027873757,0.0031125418080301063
2018-01-19,0.002422103,0.025697097,0.00094113237,0.19435124065613651,0.021715976,0.004178767,0.003059958,2.8628829918481395,1.037752837438527,,,0.003107864143488882,0.003092563114724641,0.024987195161451668,0.025009136702533658,0.02295274413780373,0.023178188970557432,0.0028610711820911605,0.0028054077854255694,0.0031036321993380815,0.003106612310736951
2018-01-22,0.0031664064,0.025033552,0.0013033733,0.078252444081363,0.023399815,0.0026176255,0.0032212,1.949891616365056,0.9175610131112634,,,0.003120436384358565,0.00310052527375176,0.024997150563430066,0.02501176930520174,0.023048754796780473,0.02320208580863043,0.002808790028541201,0.002785160149567233,0.0031288804801664918,0.0031189677449840734
2018-01-23,0.0027732714,0.02466317,0.0012250834,0.09198910406825722,0.023451215,0.002635147,0.0030744155,1.9117106972291693,0.7598638759683088,,,0.003046506111291691,0.0030666242336920492,0.024926028138028862,0.02497565712094039,0.023134460352721358,0.023227893684181346,0.002771811990504578,0.0027696199106714463,0.0031172819273420707,0.0031143524667204174
